               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.019083,           0.0094703,                   0,             0.97794,             0.96895,             0.98687,             0.92138,           0.0068437,           0.0029629,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.018488,           0.0094063,                   0,             0.97755,             0.97589,             0.98731,             0.92197,           0.0066455,           0.0030212,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.018558,           0.0093131,                   0,             0.97636,             0.97287,             0.98756,              0.9293,           0.0064114,           0.0028408,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.018475,           0.0093235,                   0,             0.97502,             0.97063,             0.98653,             0.92654,           0.0066656,            0.002856,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.018661,           0.0092178,                   0,             0.97159,             0.98116,             0.98722,             0.92478,           0.0069699,           0.0028776,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.018372,           0.0091461,                   0,              0.9722,             0.98644,              0.9886,             0.92948,           0.0066675,           0.0027979,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.018314,           0.0091422,                   0,             0.97705,             0.97739,             0.98853,             0.93158,           0.0064417,           0.0028352,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.018307,           0.0089853,                   0,             0.97341,             0.98041,             0.98891,             0.93299,           0.0064599,           0.0027823,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.017965,            0.009053,                   0,             0.97678,             0.97664,             0.98758,             0.93665,           0.0063138,           0.0027366,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.017823,           0.0089718,                   0,             0.98102,             0.97372,             0.98757,             0.93695,           0.0062581,           0.0026891,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.017637,           0.0087133,                   0,             0.97191,             0.98417,             0.98875,             0.93814,           0.0060962,           0.0027087,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.017764,            0.008773,                   0,             0.97468,             0.98417,             0.98811,             0.93759,           0.0061332,           0.0026974,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.017565,             0.00874,                   0,             0.97818,             0.98342,             0.98871,             0.93955,           0.0061331,           0.0026866,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.01757,            0.008796,                   0,             0.97603,             0.98199,             0.98918,             0.93932,           0.0062328,           0.0026894,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.017332,           0.0088433,                   0,             0.98116,             0.98116,             0.98853,             0.94092,           0.0062159,           0.0026421,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.017123,           0.0086355,                   0,             0.97755,              0.9845,             0.98864,             0.93926,           0.0061143,           0.0026217,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.017507,           0.0087674,                   0,             0.97931,             0.97739,             0.98885,             0.93852,           0.0062874,           0.0026711,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.017152,            0.008723,                   0,              0.9807,             0.97739,             0.98885,              0.9395,           0.0062037,           0.0026493,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.017222,           0.0086405,                   0,             0.97954,             0.97965,             0.98867,             0.94132,           0.0061239,           0.0025942,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.017142,            0.008618,                   0,              0.9775,             0.98204,              0.9884,             0.94163,           0.0059581,            0.002582,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.017073,           0.0086832,                   0,              0.9784,              0.9789,             0.98806,             0.94078,           0.0059458,           0.0026199,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.017152,           0.0085577,                   0,             0.97322,             0.98579,             0.98789,             0.93933,           0.0060268,           0.0026221,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.016923,           0.0085831,                   0,             0.98093,             0.97965,             0.98799,             0.93993,           0.0060167,           0.0026264,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.016662,           0.0084744,                   0,             0.97898,             0.98295,             0.98847,             0.94007,           0.0059757,            0.002602,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.016777,           0.0084117,                   0,             0.98263,             0.98026,             0.98878,             0.94077,             0.00591,           0.0026277,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.016558,           0.0083421,                   0,             0.97877,             0.98417,             0.98918,             0.94146,           0.0059046,           0.0026368,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.016648,           0.0083024,                   0,             0.97903,             0.98487,             0.98942,             0.94275,           0.0058421,           0.0026149,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.01668,           0.0084508,                   0,             0.97868,             0.98342,             0.98925,              0.9427,           0.0058076,           0.0025963,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.016443,           0.0084111,                   0,             0.98031,             0.98342,             0.98961,             0.94418,           0.0058008,           0.0025734,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.016128,           0.0082158,                   0,             0.98194,             0.98329,             0.98957,             0.94608,           0.0057655,           0.0025717,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.016371,           0.0083063,                   0,              0.9812,             0.98339,             0.98955,             0.94437,           0.0057599,            0.002576,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.016382,           0.0083248,                   0,             0.98025,             0.98267,              0.9895,             0.94527,            0.005738,           0.0025783,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.015868,           0.0081246,                   0,             0.98139,             0.98116,             0.98962,             0.94711,           0.0057166,           0.0025554,                   0,            0.003169,            0.003169,            0.003169
